,oid,class_original,class_hierachical
0,ZTF17aaaemke,E,Periodic
1,ZTF17aaafyya,E,Periodic
2,ZTF17aaageae,RRL,Periodic
3,ZTF17aaaivsr,E,Periodic
4,ZTF17aaaizej,RRL,Periodic
5,ZTF17aaajizt,RRL,Periodic
6,ZTF17aaajlul,RRL,Periodic
7,ZTF17aaakstv,E,Periodic
8,ZTF17aaanxog,E,Periodic
9,ZTF17aaanyaa,E,Periodic
10,ZTF17aaapkds,E,Periodic
11,ZTF17aaaptuh,RRL,Periodic
12,ZTF17aaaselv,RRL,Periodic
13,ZTF17aaasfod,E,Periodic
14,ZTF17aaatvll,YSO,Stochastic
15,ZTF17aaawcrw,LPV,Periodic
16,ZTF17aaawcwz,YSO,Stochastic
17,ZTF17aaawmqu,E,Periodic
18,ZTF17aaawthq,Periodic-Other,Periodic
19,ZTF17aaawwnd,RRL,Periodic
20,ZTF17aabdxyc,DSCT,Periodic
21,ZTF17aabiewn,Periodic-Other,Periodic
22,ZTF17aabkwrk,YSO,Stochastic
23,ZTF17aabmdav,RRL,Periodic
24,ZTF17aaboajb,E,Periodic
25,ZTF17aabofis,E,Periodic
26,ZTF17aabofpf,RRL,Periodic
27,ZTF17aabsvct,E,Periodic
28,ZTF17aabszwz,DSCT,Periodic
29,ZTF17aabudqo,RRL,Periodic
30,ZTF17aabunuc,E,Periodic
31,ZTF17aabutbe,E,Periodic
32,ZTF17aabuulj,RRL,Periodic
33,ZTF17aabvhhm,E,Periodic
34,ZTF17aabwcjm,E,Periodic
35,ZTF17aabwdvq,E,Periodic
36,ZTF17aabwjmc,E,Periodic
37,ZTF17aabwjrz,RRL,Periodic
38,ZTF17aabwrne,E,Periodic
39,ZTF17aabwxmu,RRL,Periodic
40,ZTF17aabxwne,E,Periodic
41,ZTF17aacempk,RRL,Periodic
42,ZTF17aacngys,RRL,Periodic
43,ZTF17aacnscd,RRL,Periodic
44,ZTF17aacpjzx,E,Periodic
45,ZTF17aacxsqt,E,Periodic
46,ZTF17aadddmp,E,Periodic
47,ZTF18aaaauqs,E,Periodic
48,ZTF18aaabcbk,E,Periodic
49,ZTF18aaackau,RRL,Periodic
50,ZTF18aaacmdt,E,Periodic
51,ZTF18aaacucv,E,Periodic
52,ZTF18aaacxlg,E,Periodic
53,ZTF18aaacxpf,RRL,Periodic
54,ZTF18aaadhha,E,Periodic
55,ZTF18aaadogp,E,Periodic
56,ZTF18aaadsbj,LPV,Periodic
57,ZTF18aaadtgh,E,Periodic
58,ZTF18aaadxvl,E,Periodic
59,ZTF18aaagojp,RRL,Periodic
60,ZTF18aaagwrb,RRL,Periodic
61,ZTF18aaaiezw,E,Periodic
62,ZTF18aaaiygf,RRL,Periodic
63,ZTF18aaalpdf,E,Periodic
64,ZTF18aaapozs,E,Periodic
65,ZTF18aaaxsra,E,Periodic
66,ZTF18aabeokc,E,Periodic
67,ZTF18aabetde,E,Periodic
68,ZTF18aabexxx,E,Periodic
69,ZTF18aabfqrb,LPV,Periodic
70,ZTF18aabfuoq,LPV,Periodic
71,ZTF18aabiuei,E,Periodic
72,ZTF18aabtufv,E,Periodic
73,ZTF18aaeeabc,E,Periodic
74,ZTF18aaerxdd,E,Periodic
75,ZTF18aaevxhj,QSO,Stochastic
76,ZTF18aafdnsq,QSO,Stochastic
77,ZTF18aagrcyg,E,Periodic
78,ZTF18aagrgcs,RRL,Periodic
79,ZTF18aagrggn,Periodic-Other,Periodic
80,ZTF18aagrhuq,RRL,Periodic
81,ZTF18aagszxm,RRL,Periodic
82,ZTF18aagteml,E,Periodic
83,ZTF18aagtgix,RRL,Periodic
84,ZTF18aahewru,E,Periodic
85,ZTF18aahqepx,E,Periodic
86,ZTF18aahrhsm,E,Periodic
87,ZTF18aaiivhs,E,Periodic
88,ZTF18aaiiwap,RRL,Periodic
89,ZTF18aaiwjop,E,Periodic
90,ZTF18aaixazr,E,Periodic
91,ZTF18aaixvtj,E,Periodic
92,ZTF18aajbitw,E,Periodic
93,ZTF18aajcmau,E,Periodic
94,ZTF18aajqrmp,RRL,Periodic
95,ZTF18aajqtge,RRL,Periodic
96,ZTF18aajtwnn,E,Periodic
97,ZTF18aajxvan,E,Periodic
98,ZTF18aakbxxv,E,Periodic
99,ZTF18aakgfuy,RRL,Periodic
100,ZTF18aakzhat,RRL,Periodic
101,ZTF18aalamwe,RRL,Periodic
102,ZTF18aammpcj,RRL,Periodic
103,ZTF18aamndyk,Blazar,Stochastic
104,ZTF18aaptchy,RRL,Periodic
105,ZTF18aaqeqwd,E,Periodic
106,ZTF18aascbfw,QSO,Stochastic
107,ZTF18aasouef,QSO,Stochastic
108,ZTF18aauipis,AGN,Stochastic
109,ZTF18aauwmxy,E,Periodic
110,ZTF18aauxnti,E,Periodic
111,ZTF18aavscmw,QSO,Stochastic
112,ZTF18aavucmo,LPV,Periodic
113,ZTF18aavyouk,CV/Nova,Stochastic
114,ZTF18aawagmg,E,Periodic
115,ZTF18aawqlqh,Blazar,Stochastic
116,ZTF18aawrmou,E,Periodic
117,ZTF18aaxmnla,RRL,Periodic
118,ZTF18aaxmrni,RRL,Periodic
119,ZTF18aaxsazi,QSO,Stochastic
120,ZTF18aaxyxkq,LPV,Periodic
121,ZTF18aaxyymz,LPV,Periodic
122,ZTF18aaxzgzl,AGN,Stochastic
123,ZTF18aayetrm,LPV,Periodic
124,ZTF18aayjwjk,QSO,Stochastic
125,ZTF18aaywrsm,LPV,Periodic
126,ZTF18aazelrt,LPV,Periodic
127,ZTF18aazfecb,LPV,Periodic
128,ZTF18aazrohc,LPV,Periodic
129,ZTF18aazuqua,LPV,Periodic
130,ZTF18abadltc,E,Periodic
131,ZTF18abaelqq,E,Periodic
132,ZTF18abafdst,E,Periodic
133,ZTF18abafrlr,QSO,Stochastic
134,ZTF18abaivke,RRL,Periodic
135,ZTF18abasctf,RRL,Periodic
136,ZTF18abastwo,RRL,Periodic
137,ZTF18abatwdh,RRL,Periodic
138,ZTF18abayblu,RRL,Periodic
139,ZTF18abbelwa,LPV,Periodic
140,ZTF18abbemat,LPV,Periodic
141,ZTF18abbpxse,RRL,Periodic
142,ZTF18abbwgmv,RRL,Periodic
143,ZTF18abbwswk,LPV,Periodic
144,ZTF18abcedgy,RRL,Periodic
145,ZTF18abcjzfe,LPV,Periodic
146,ZTF18abckocd,LPV,Periodic
147,ZTF18abcoxqk,E,Periodic
148,ZTF18abcphec,RRL,Periodic
149,ZTF18abcpokm,E,Periodic
150,ZTF18abcpviv,RRL,Periodic
151,ZTF18abctbgx,RRL,Periodic
152,ZTF18abcvlym,RRL,Periodic
153,ZTF18abcwdph,E,Periodic
154,ZTF18abcxutn,LPV,Periodic
155,ZTF18abcyzue,E,Periodic
156,ZTF18abczeek,E,Periodic
157,ZTF18abdbjhh,LPV,Periodic
158,ZTF18abddmuf,E,Periodic
159,ZTF18abdeyfg,RRL,Periodic
160,ZTF18abdeygm,E,Periodic
161,ZTF18abdxymh,LPV,Periodic
162,ZTF18abebfrs,LPV,Periodic
163,ZTF18abecywu,YSO,Stochastic
164,ZTF18abegfbs,RRL,Periodic
165,ZTF18abehjlj,LPV,Periodic
166,ZTF18abeifex,E,Periodic
167,ZTF18abekuol,RRL,Periodic
168,ZTF18abesmxc,RRL,Periodic
169,ZTF18abeweoi,LPV,Periodic
170,ZTF18abfxghg,RRL,Periodic
171,ZTF18abgjslm,E,Periodic
172,ZTF18abgvzke,RRL,Periodic
173,ZTF18abhozks,E,Periodic
174,ZTF18abhtyyn,Periodic-Other,Periodic
175,ZTF18abigult,RRL,Periodic
176,ZTF18abikitj,RRL,Periodic
177,ZTF18abjtkav,RRL,Periodic
178,ZTF18abjydcn,LPV,Periodic
179,ZTF18abkeqmm,E,Periodic
180,ZTF18abkwpdu,RRL,Periodic
181,ZTF18ablhpqi,AGN,Stochastic
182,ZTF18ablqdor,RRL,Periodic
183,ZTF18ablqmoq,RRL,Periodic
184,ZTF18ablrpet,LPV,Periodic
185,ZTF18abmagur,RRL,Periodic
186,ZTF18abmahyd,LPV,Periodic
